COLLECTION,COLLECTOR,CONDDATE,CONDEXAM,CONDITION,COPYNO,COPYRIGHT,CREATOR,DATE,DESCRIP,EARLYDATE,EDITION,FILMSIZE,HOMELOC,IMAGEFILE,MAINTDATE,MEDIUM,NOTES,OBJECTID,OBJNAME,PRINTSIZE,PROCESS,PROVENANCE,RECDATE,RECFROM,STATUSDATE,STERMS,TITLE,UDF2,UDF4,UDF5,Date of Photo,UDF9,UPDATED,USED,MAPS URL,Notes,,MAPS URL,Notes,,,Notes,CAT Record URL
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Blair Portal, 16th Street and Eastern Avenue NW, looking south. May 8, 1948.","1,948",,,212,043\WY 001001.JPG,04/08/2004,Photographic Emulsion,,WY 0010.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Blair Portal,"Blair Portal, 16th Street and Eastern Avenue NW, looking south.",Sixteenth Street,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9921878,-77.0364963,3a,75y,174.39h,78.62t/data=!3m6!1e1!3m4!1s5dEbUr15g2EwoupY649YMA!2e0!7i13312!8i6656",not good angle,,"https://www.google.com/maps/@38.9921878,-77.0364963,3a,75y,174.39h,78.62t/data=!3m6!1e1!3m4!1s5dEbUr15g2EwoupY649YMA!2e0!7i13312!8i6656",not good angle,,,not good angle,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=7CC68767-8043-4687-937C-023077125170;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Looking north toward Silver Spring, Maryland from Blair Portal. May 8, 1948.","1,948",,,212,043\WY 001101.JPG,04/08/2004,Photographic Emulsion,,WY 0011.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Blair Portal,"Looking north toward Silver Spring, Maryland from Blair Portal.",,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9918188,-77.03622,3a,75y,16.04h,74.54t/data=!3m7!1e1!3m5!1scq-ISYcNOP5q94xy6pZw9w!2e0!5s20140701T000000!7i13312!8i6656",,,"https://www.google.com/maps/@38.9918188,-77.03622,3a,75y,16.04h,74.54t/data=!3m7!1e1!3m5!1scq-ISYcNOP5q94xy6pZw9w!2e0!5s20140701T000000!7i13312!8i6656",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=2E68F356-1F6F-4848-B5B9-156137628009;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Eastern Avenue NW looking west from near Georgia Avenue. May 8, 1948.","1,948",,,212,043\WY 001201.JPG,04/08/2004,Photographic Emulsion,,WY 0012.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Eastern Avenue NW looking west from near Georgia Avenue,Eastern Avenue,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9845186,-77.0266156,3a,75y,337.59h,76.41t/data=!3m6!1e1!3m4!1sKuNjlSwjGApXaaCcycrVTw!2e0!7i13312!8i6656!6m1!1e1",not sure,,"https://www.google.com/maps/@38.9845186,-77.0266156,3a,75y,337.59h,76.41t/data=!3m6!1e1!3m4!1sKuNjlSwjGApXaaCcycrVTw!2e0!7i13312!8i6656!6m1!1e1",not sure,,,not sure,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=4F1B807F-95DE-403C-848F-098143100523;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: 13th Street NW looking south from Eastern Avenue. May 8, 1948.","1,948",,,212,043\WY 001301.JPG,04/08/2004,Photographic Emulsion,,WY 0013.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,13th Street NW looking south from Eastern Avenue.,Thirteenth Street,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9868852,-77.0296682,3a,75y,47.02h,82.79t/data=!3m6!1e1!3m4!1sBfr12zavr39o3yB0ZnRpgA!2e0!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9868852,-77.0296682,3a,75y,47.02h,82.79t/data=!3m6!1e1!3m4!1sBfr12zavr39o3yB0ZnRpgA!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=3827D3A7-FDC7-42AE-ACD2-435289280900;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Capitol Transit Co. Georgia and Alaska Avenue Terminal. May 8, 1948.","1,948",,,212,043\WY 001401.JPG,04/08/2004,Photographic Emulsion,,WY 0014.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Capital Transit Company--street-car terminal,Capitol Transit Co. Georgia and Alaska Avenue Terminal.,Alaska Avenue,,NW,5/8/1948,,10/26/2015,,,not sure,,,not sure,,,not sure,
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Northminster Presbyterian Church, Kalmia Road and Georgia Avenue NW. May 8, 1948.","1,948",,,212,043\WY 001501.JPG,04/08/2004,Photographic Emulsion,,WY 0015.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,Northminster Presbyterian Church,"Northminster Presbyterian Church, Kalmia Road and Georgia Avenue NW",Kalmia Road,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9835804,-77.0271188,3a,75y,299.54h,86.19t/data=!3m6!1e1!3m4!1se44Rml4CsIo3H-4NFjTlsw!2e0!7i13312!8i6656",,,"https://www.google.com/maps/@38.9835804,-77.0271188,3a,75y,299.54h,86.19t/data=!3m6!1e1!3m4!1se44Rml4CsIo3H-4NFjTlsw!2e0!7i13312!8i6656",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=C0FCD074-40DC-41A9-A117-193682739720;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer description: House at corner of Jonquil Street and 14th Street NW. October 10, 1948. At top of page on which 16-19 are mounted SAMPLE BLOCK 1- Kalmia Road, Morningside Drive, Jonquil Street, and 14th Street NW.","1,948",,,212,044\WY 001601.JPG,04/08/2004,Photographic Emulsion,,WY 0016.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,House at corner of Jonquil Street and 14th Street NW.,Fourteenth Street,,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/@38.9841034,-77.0334077,3a,75y,48.73h,79.85t/data=!3m7!1e1!3m5!1sTl7Ozj2YFArZBpKLcnCQDg!2e0!5s20111001T000000!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9841034,-77.0334077,3a,75y,48.73h,79.85t/data=!3m7!1e1!3m5!1sTl7Ozj2YFArZBpKLcnCQDg!2e0!5s20111001T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=8A652ED0-75EF-49C9-9B3B-234061699412;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",5/8/1948,"John P. Wymer description: Morningside Drive north of Jonquil Street, NW. May 8, 1948. At top of page on which 16-19 are mounted SAMPLE BLOCK 1- Kalmia Road, Morningside Drive, Jonquil Street, and 14th Street NW.","1,948",,,212,044\WY 001701.JPG,04/09/2004,Photographic Emulsion,,WY 0017.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,"Morningside Drive north of Jonquil Street, NW.",Morningside Drive,,NW,5/8/1948,,09/11/2015,,"https://www.google.com/maps/@38.9840262,-77.0320513,3a,75y,166.81h,83.74t/data=!3m6!1e1!3m4!1s2iLOxGBwGR8vGa3xhJKGbA!2e0!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9840262,-77.0320513,3a,75y,166.81h,83.74t/data=!3m6!1e1!3m4!1s2iLOxGBwGR8vGa3xhJKGbA!2e0!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=DC60E3A1-F4F5-4F8C-A711-117924228340;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/10/1948,"John P. Wymer description: House at Morningside Drive and Jonquil Street NW. October 10, 1948. At top of page on which 16-19 are mounted SAMPLE BLOCK 1- Kalmia Road, Morningside Drive, Jonquill Street, and 14th Street NW.","1,948",,,212,044\WY 001801.JPG,04/09/2004,Photographic Emulsion,,WY 0018.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,House at Morningside Drive and Jonquil Street NW.,Morningside Drive,,NW,10/10/1948,,09/11/2015,,"https://www.google.com/maps/@38.9844519,-77.0322452,3a,75y,199.59h,87.91t/data=!3m7!1e1!3m5!1sryGzfAtrXpigvvwxdcg9Mw!2e0!5s20110601T000000!7i13312!8i6656!6m1!1e1",,,"https://www.google.com/maps/@38.9844519,-77.0322452,3a,75y,199.59h,87.91t/data=!3m7!1e1!3m5!1sryGzfAtrXpigvvwxdcg9Mw!2e0!5s20110601T000000!7i13312!8i6656!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=C8508AC0-F89C-4462-A6BA-561354372488;type=102
John P. Wymer photograph collection,,/ /,,,0,,"Wymer, John P.",10/17/1948,"John P. Wymer description: Kalmia Road east of 14th Street NW. October 17,1948. At top of page on which 16-19 are mounted SAMPLE BLOCK 1- Kalmia Road, Morningside Drive, Jonquil Street, and 14th Street NW.","1,948",,,212,044\WY 001901.JPG,04/09/2004,Photographic Emulsion,,WY 0019.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Kalmia Road east of 14th Street NW.,Kalmia Road,,NW,10/17/1948,,09/11/2015,,"https://www.google.com/maps/@38.9850233,-77.0330105,3a,75y,100.64h,94.12t/data=!3m6!1e1!3m4!1sA_a7d6xHdIr4b4L0XauTtg!2e0!7i13312!8i6656!6m1!1e1",bad angle,,"https://www.google.com/maps/@38.9850233,-77.0330105,3a,75y,100.64h,94.12t/data=!3m6!1e1!3m4!1sA_a7d6xHdIr4b4L0XauTtg!2e0!7i13312!8i6656!6m1!1e1",bad angle,,,bad angle,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=AE046838-8527-4146-B408-584607415859;type=102
John P. Wymer photograph collection,,07/09/2003,"Brewer, Jack",Excellent,0,,"Wymer, John P.",10/17/1948,"John P. Wymer's description: Morningside Drive south of Kalmia Road NW. October 17, 1948.","1,948",,,212,040\WY 00201.JPG,07/09/2003,Photographic Emulsion,,WY 0020.01,"Print, Photographic","3.0"" x 4.5""",b/w,"From the John P. Wymer Collection, about 4000 images of Washington, D.C. taken from 1948 to 1952. Wymer divided the District into 57 areas and photographed sample blocks, including important buildings. The prints are kept in albums and captioned with location and dates. The finding aid is a map of Washington divided into Wymer's designated areas.",11/19/1997,John P. Wymer,/ /,,Houses on Morningside Drive south of Kalmia Road NW.,Morningside Drive,Shepherd Park,NW,10/17/1948,,09/11/2015,,,,,"https://www.google.com/maps/@38.9840379,-77.0321605,3a,75y,29.95h,82.78t/data=!3m7!1e1!3m5!1sPRKiAfxw4fU8HRMn6oH9cQ!2e0!5s20070901T000000!7i3328!8i1664!6m1!1e1",,,,,http://historydc.pastperfect-online.com/32595cgi/mweb.exe?request=record;id=4C7F020A-DC9B-4AE5-B3BC-431326162470;type=102
